State,Total,White,African American,Native American,Asian,Pacific Islander,Other,Two or more races,% White,% African American,% Native American,% Asian,% Pacific Islander,% Other,% Two or more races
Massachusetts,6811779,5350175,506677,12547,440845,3758,285412,212365,0.785429914857778,0.07438247776388518,0.001841956411093196,0.06471804208562844,0.0005516914157079964,0.04189977390634664,0.03117614355956058
Michigan,9928300,7793481,1363336,51161,292514,2967,118621,306220,0.7849763806492551,0.13731817128813595,0.005153047349495885,0.029462647180282627,0.0002988427021745918,0.011947765478480707,0.030843145352175097
Minnesota,5519952,4596566,331308,63229,258899,1452,111852,156646,0.8327184729142573,0.060020087131192446,0.011454628590973254,0.04690240060058493,0.0002630457656153532,0.02026321968017113,0.028378145317205658
Mississippi,2988726,1748734,1134958,13260,26708,631,30583,33852,0.5851101773799271,0.3797464203811256,0.004436673017198633,0.008936249090749705,0.00021112674765100581,0.010232788151205563,0.01132656523214239
Missouri,6093000,5011507,702946,30888,117335,9193,71031,150100,0.8225023797800755,0.11536944034137535,0.005069423929098966,0.019257344493681272,0.0015087805678647627,0.01165780403741999,0.02463482685048416
Montana,1042520,927374,3949,66231,8432,578,3738,32218,0.8895503203775467,0.0037879369220734376,0.06352971645627901,0.00808809423320416,0.0005544258143728658,0.00358554272340099,0.03090396347312282
Nebraska,1907116,1674863,89879,15865,41548,1227,38348,45386,0.8782176857621665,0.04712822922150514,0.008318843741020474,0.021785774960726038,0.0006433798468472814,0.020107848709779583,0.023798237757954945
Nevada,2940058,1966690,260993,34267,244373,20240,274293,139202,0.6689289803126333,0.0887713779796181,0.01165521224411219,0.08311842827590477,0.00688421793039457,0.0932950982599663,0.0473466849973708
New Hampshire,1334795,1247155,16671,1450,32679,66,8057,28717,0.9343419776070483,0.012489558321689848,0.0010863091336122776,0.02448241115676939,4.944579504717953e-05,0.0060361328893200825,0.02151416509651295
New Jersey,8944469,6090908,1194585,20185,854181,3754,543530,237326,0.6809692112522275,0.13355572030044488,0.00225670187911658,0.09549823471913202,0.0004197007111322092,0.06076716236592692,0.026533268772019895
New Mexico,2081015,1539634,41043,194133,32346,1428,206526,65905,0.7398476224342448,0.019722587295142036,0.09328765049747359,0.015543376669557884,0.0006862036073742861,0.09924291751861472,0.031669641977592665
New York,19745289,12530463,3080534,73052,1668036,9236,1767107,616861,0.6346051962065483,0.15601361924862178,0.0036997179428470257,0.08447766958488175,0.0004677571445016581,0.08949511957004022,0.031240920302559257
North Carolina,10146788,6989065,2182212,120843,275428,6081,304293,268866,0.6887958041500424,0.21506431394841402,0.011909483079768692,0.027144353464367246,0.000599302951830668,0.029989096056801424,0.02649764634877559
North Dakota,757953,660919,19250,41649,9200,233,5114,21588,0.8719788694021925,0.025397353134033376,0.054949317437888626,0.01213795578353803,0.0003074069236483001,0.006747120204023204,0.028481977114675976
Ohio,11614373,9476221,1443510,18081,239025,4031,109073,324432,0.8159046553782973,0.12428651981471578,0.0015567779681262175,0.0205801036353835,0.00034706996236473546,0.009391208634336094,0.02793366460677645
Oklahoma,3923561,2841467,287373,297948,79246,6143,107778,303606,0.7242061484452517,0.07324290357662337,0.07593815923850808,0.020197468575103076,0.001565669553754867,0.027469434016700645,0.0773802165940583
